"1963 , 155 , NA , NA"
"1993 , 107 , NA , NA"
"1994 , 107 , NA , NA"
"1995 , 107 , NA , NA"
"1996 , 107 , NA , NA"
"1997 , 107 , NA , NA"
"1998 , 107 , NA , NA"
"1999 , 107 , NA , NA"
"2000 , 107 , NA , NA"
"2001 , 107 , NA , NA"
"2002 , 107 , NA , NA"
"2003 , 107 , NA , NA"
"2004 , 107 , NA , NA"
"2005 , 107 , NA , NA"
"2006 , 107 , NA , NA"
"2007 , 107 , NA , NA"
"2008 , 107 , NA , NA"
"2009 , 107 , NA , NA"
"2010 , 107 , NA , NA"
"2011 , 107 , NA , NA"
"2012 , 107 , NA , NA"
"2013 , 107 , NA , NA"
"2014 , 107 , NA , NA"
"2015 , 107 , NA , NA"
"2016 , 107 , NA , NA"
"1963 , 192 , NA , NA"
"1964 , 192 , NA , NA"
"1965 , 192 , NA , NA"
"1966 , 192 , NA , NA"
"1967 , 192 , NA , NA"
"1968 , 192 , NA , NA"
"1969 , 192 , NA , NA"
"1970 , 192 , NA , NA"
"1971 , 192 , NA , NA"
"1972 , 192 , NA , NA"
"1973 , 192 , NA , NA"
"1974 , 192 , NA , NA"
"1975 , 192 , NA , NA"
"1976 , 192 , NA , NA"
"1977 , 192 , NA , NA"
"1978 , 192 , NA , NA"
"1979 , 192 , NA , NA"
"1980 , 192 , NA , NA"
"1981 , 192 , NA , NA"
"1982 , 192 , NA , NA"
"1983 , 192 , NA , NA"
"1984 , 192 , NA , NA"
"1985 , 192 , NA , NA"
"1986 , 192 , NA , NA"
"1987 , 192 , NA , NA"
"1988 , 192 , NA , NA"
"1989 , 192 , NA , NA"
"1990 , 192 , NA , NA"
"1991 , 192 , NA , NA"
"1992 , 192 , NA , NA"
"1993 , 192 , NA , NA"
"1994 , 192 , NA , NA"
"1995 , 192 , NA , NA"
"1996 , 192 , NA , NA"
"1997 , 192 , NA , NA"
"1998 , 192 , NA , NA"
"1999 , 192 , NA , NA"
"2000 , 192 , NA , NA"
"2001 , 192 , NA , NA"
"2002 , 192 , NA , NA"
"2003 , 192 , NA , NA"
"2004 , 192 , NA , NA"
"2005 , 192 , NA , NA"
"2006 , 192 , NA , NA"
"2007 , 192 , NA , NA"
"2008 , 192 , NA , NA"
"2009 , 192 , NA , NA"
"2010 , 192 , NA , NA"
"2011 , 192 , NA , NA"
"2012 , 192 , NA , NA"
"2013 , 192 , NA , NA"
"2014 , 192 , NA , NA"
"2015 , 192 , NA , NA"
"2016 , 192 , NA , NA"
"1963 , 105 , NA , NA"
"1964 , 105 , NA , NA"
"1965 , 105 , NA , NA"
"1966 , 105 , NA , NA"
"1967 , 105 , NA , NA"
"1968 , 105 , NA , NA"
"1969 , 105 , NA , NA"
"1970 , 105 , NA , NA"
"1971 , 105 , NA , NA"
"1972 , 105 , NA , NA"
"1973 , 105 , NA , NA"
"1974 , 105 , NA , NA"
"1975 , 105 , NA , NA"
"1976 , 105 , NA , NA"
"1977 , 105 , NA , NA"
"1978 , 105 , NA , NA"
"1979 , 105 , NA , NA"
"1980 , 105 , NA , NA"
"1981 , 105 , NA , NA"
"1982 , 105 , NA , NA"
"1983 , 105 , NA , NA"
"1984 , 105 , NA , NA"
"1985 , 105 , NA , NA"
"1986 , 105 , NA , NA"
"1987 , 105 , NA , NA"
"1988 , 105 , NA , NA"
"1989 , 105 , NA , NA"
"1990 , 105 , NA , NA"
"1991 , 105 , NA , NA"
"1992 , 105 , NA , NA"
"1993 , 105 , NA , NA"
"1994 , 105 , NA , NA"
"1995 , 105 , NA , NA"
"1996 , 105 , NA , NA"
"1997 , 105 , NA , NA"
"1998 , 105 , NA , NA"
"1999 , 105 , NA , NA"
"2000 , 105 , NA , NA"
"2001 , 105 , NA , NA"
"2002 , 105 , NA , NA"
"2003 , 105 , NA , NA"
"2004 , 105 , NA , NA"
"2005 , 105 , NA , NA"
"2006 , 105 , NA , NA"
"2007 , 105 , NA , NA"
"2008 , 105 , NA , NA"
"2009 , 105 , NA , NA"
"2010 , 105 , NA , NA"
"2011 , 105 , NA , NA"
"2012 , 105 , NA , NA"
"2013 , 105 , NA , NA"
"2014 , 105 , NA , NA"
"2015 , 105 , NA , NA"
"2016 , 105 , NA , NA"
